Avg_Non_Nov_Revenue,Nov_Revenue,Seasonal_Lift
2069.3790909090912,34478.4,32409.020909090912
2641.117272727273,28955.54,26314.42272727273
1334.1881818181819,14188.8,12854.611818181816
1559.408181818182,12929.74,11370.331818181818
1180.3681818181817,11760.07,10579.701818181818
951.2854545454546,11062.98,10111.694545454546
1724.4318181818182,10269.89,8545.458181818181
1281.950909090909,9628.44,8346.489090909092
1272.0863636363638,9144.55,7872.4636363636355
3633.7136363636364,11485.77,7852.056363636364
200.52363636363637,7982.3,7781.776363636363
615.1509090909091,7278.55,6663.399090909091
8152.134545454545,14356.220000000001,6204.085454545456
1935.6118181818179,8064.610000000001,6128.998181818182
582.7818181818183,6015.6,5432.818181818182
2469.071818181819,7891.16,5422.088181818181
277.6390909090909,5660.21,5382.5709090909095
575.4254545454546,5933.64,5358.214545454546
516.1209090909091,5739.21,5223.089090909091
105.92363636363638,5188.97,5083.046363636364
802.5027272727272,5848.9,5046.397272727272
686.1936363636364,5594.490000000001,4908.296363636364
935.4754545454545,5741.89,4806.414545454546
467.00181818181824,5188.78,4721.778181818181
605.7572727272727,5083.69,4477.932727272727
1322.0563636363638,5691.26,4369.203636363636
268.0972727272727,4609.41,4341.312727272727
7299.419999999999,11639.29,4339.870000000002
1559.2954545454545,5680.91,4121.614545454546
4398.4627272727275,8381.79,3983.3272727272733
1531.9527272727273,5464.0,3932.0472727272727
1026.1172727272728,4936.59,3910.4727272727273
166.26818181818183,3916.03,3749.7618181818184
349.4218181818182,4008.63,3659.208181818182
1233.009090909091,4847.78,3614.770909090909
539.8972727272728,4153.4400000000005,3613.5427272727275
1811.6881818181819,5175.81,3364.1218181818185
1936.5927272727276,5285.53,3348.937272727272
810.8172727272729,4082.1,3271.2827272727272
771.7463636363638,4026.8,3255.0536363636365
454.71000000000004,3697.63,3242.92
481.7390909090909,3677.98,3196.240909090909
1278.628181818182,4454.63,3176.001818181818
2785.99,5929.53,3143.54
750.6409090909091,3878.94,3128.299090909091
2219.3936363636367,5343.68,3124.2863636363636
179.5309090909091,3245.9700000000003,3066.439090909091
1859.3009090909088,4867.74,3008.4390909090907
1628.654545454545,4521.7,2893.045454545455
488.08272727272725,3312.0,2823.9172727272726
478.5509090909091,3283.6000000000004,2805.0490909090913
331.29636363636365,3017.96,2686.663636363636
267.36636363636364,2948.35,2680.9836363636364
1589.148181818182,4244.18,2655.0318181818184
529.169090909091,3181.3,2652.130909090909
2429.7590909090904,5069.469999999999,2639.710909090909
629.57,3248.53,2618.96
699.0590909090909,3277.77,2578.710909090909
